,Exhibitor,Address,City,Zip,Tel,Country,email,About,Key Words,Logo,WebSite,Hall,Stand
448,ETA PLUS GmbH,An der Kolonnade 11,Berlin,10117,+49 3086321398,Germany,pam@etaplus.energy,​​,"['Klimaneutralit&auml;t (NetZero)', 'Energiemanagement', 'digital', 'Geb&auml;udemanagement', 'Property Management']",,https://www.etaplus.energy/,9.0,C30
449,Etelec Italia S.p.A.,Via Domenico de Roberto 40,Napoli,80143,+39 0815846610,Italy,etelec@etelec.it,Etelec Italia S.p.a. was born in 1998 from a long decennary experience of his founder in the field of electrotechnical equipments...,"['Cable accessories', 'Joint', 'Junction', 'Termination', 'Medium voltage']",https://exhibitorsearch.messefrankfurt.com/images/medium/mics/migration_feria/20002181.jpg,www.etelec.com,12.1,B81
450,"ETI Elektroelement, d.o.o.",Obrezija 5,Izlake,1411,+386 35657570,Slovenia,eti@eti.si,"Since the year 1950 till now, ETI has grown into a world's leading provider of products and services in the field of electrical...","['Modular protection', 'Energy', 'Fuses', 'Power protection devices', 'Battery']",https://exhibitorsearch.messefrankfurt.com/images/medium/mics/migration_feria/07135040.jpg,www.etigroup.eu,11.0,C92
451,ETREL,Pod jelsami 6,Grosuplje,1290,+386 16010075,Slovenia,info@etrel.com,Etrel provides innovative charging solutions that help transform EVs from static consumers to essential building blocks of...,"['ev charging', 'e-mobility', 'charging station', 'EV charger', 'smart grid']",,www.etrel.com,12.0,C65
452,ETTLIN Smart Textiles GmbH,Pforzheimer Str. 202,Ettlingen,76275,+49 7243107108,Germany,info@ettlinlux.com,"We supply unique, easy-to-integrate solutions to enhance your project with lighting and textiles. Our portfolio includes...","['mirror', 'Stehlampe', 'Spiegel', 'luminaires', 'Pendelleuchte']",https://exhibitorsearch.messefrankfurt.com/images/medium/mics/migration_feria/20009176.jpg,https://ettlinlux.com,3.1,E19
453,"Shanghai Euchips Industrial Co., Ltd.","4th Floor, 5th Building, No. 888, Shuangbai Road, Minhang District",Shanghai,201108,+86 2161611461,China,sales@euchips.com,"Shanghai Euchips Industrial Co.,LTDEUCHIPS BACKGROUNDEuchips specialises in the design and manufacture of dimmable LED drivers.The...","['Dimming power supply', 'Light control', 'DALI', 'DMX512', 'LED']",,www.euchips.com,8.0,M80
454,EULUX SPA,Via Alberto Tallone 84,Roma,00123,+39 0824832296,Italy,info@eulux.it,"EuLux is a leading Company in manufacturing and supply of a wide range of LED products for lighting, decoration and visual...","['Street Lighting', 'Sport Area Lighting ', 'Tunnel Lighting ', 'Led Floodlights ', 'Artistic Light Fixtures ']",,,4.1,G51
455,EUROLAMP SA,Kambos Diavaton,Thessaloniki,57008,+30 2310574802,Greece,info@eurolamp.gr,"EUROLAMP SA was established in 2000 in Thessaloniki, from partners with long time experience in the sector of Lighting Technology...","['LED Bulbs', 'LED StreetLight', 'LED Panel', 'LED Projectors', 'LED Tapes']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0052076360/RGB_JPG_Eurolamp.jpg,www.eurolamp.gr,8.0,A70
456,Euroledlighting Sp. J.,ul. Przemyslowa 23/24,Slupsk,76-200,+48 598400050,Poland,info@euroledlighting.com,"Euroledlighting with its factory located in Poland, for over 14 years has been one of the professional manufacturers of LED...","['Linear lighting', 'Mounting rail', 'LED lighting', 'Industrial lighting', 'Trunking system']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0015011499/RGB_JPG_Euroledlighting.jpg,www.euroledlighting.pl,4.1,G08
457,"Shenzhen Everbright Optoelectronics Co., Ltd","7th floor, No. 8 Building, Huihao Industry Zone",Shenzhen,518106,+86 75529470873,China,eb@szeb.cc,"Shenzhen Everbright Optoelectronics Co., Ltd, is an industry-leading manufacturer of indoors LED luminaries from China.Shenzhen...","['LED mirror light for bathroom', 'Led cob strip light', 'Led ceiling light with fabric shade ', 'Tunable white led strip light', 'backlit led panel light']",,www.ledeverbright.com,8.0,L40
458,"Everlite LED Lighting Co., Limited","Room 803, Chevalier House, 45-51 Chatham Road South","Tsimshatsui, Kowloon",,+86 57483530320,Hong Kong,sales@everlite.cc,Everlite is a lighting manufacturer and solution provider. Our products and service are widely used in professional areas...,"['Street lights', 'Sports arena lights', 'Parks lights', 'Outside lights', 'Exterior lighting']",,www.everlite.cc,4.1,J40
459,EVIK,L. Flemingk 35 & 1 Evropis Str.,Piraeus,18233,+30 2167005131,Greece,info@evik.gr,"Founded in 1967 as a family Company, evik first launched production of fish tapes, shucko rubber adaptors and industrial...","['cable laying equipment ', 'fiberglass duct rodders ', 'fish tapes', 'cable pulling grips ', 'evik']",,www.evik.gr,12.1,D70
460,"Excellence Wire Ind. Co., Ltd.","No. 13, Lane 39, Sec. 2, Chang An Road, Luchu District",Taoyuan,338,+886 33222120,Taiwan,lily@exw.com.tw,"We, EXW, are a professional manufacturer of high quality structure cabling products included Cat. 8 / 6A / 6 & 5E keystone...","['RJ45 Connectors (plugs)', 'Patch cords', 'Patch panel', 'Keystone Jack', 'Fiber patch cord']",,www.exw.com.tw,9.0,A65
461,Excloosiva Sas,51 Chemin Du Moulin Carron,Dardilly,69570,,France,,"The LOD'AIR are 2 in 1 design luminaries that light up your spaces and Eliminate 99% of the COVID-19 in the Air, including...","['Air purifier', 'LOD&#39;AIR', 'Luftreiniger', 'Virus', 'Covid-19']",,,3.0,G29
462,Extra Lighting Manufacturing Ltd,"801-2, 8/F., Easey Commercial Building 253-261 Hennessy Road",Wanchai,999077,+852 60651484,Hong Kong,maruxiong@extra-lighting.com,,[],,www.meek-led.com,8.0,B94C
463,Fachverband Elektro- und Informationstechnik Hessen/Rheinland-Pfalz,Berta-Cramer-Ring 32,Wiesbaden-Delkenheim,65205,+49 6122534760,Germany,info@liv-fehr.de,	Der Fachverband ist eine Vereinigung der Innungen auf Landesebene sowie Repräsentant und politisches Vertretungsorgan der...,"['Tarifvertrag', 'Unternehmensberatung', 'Interessenvertretung', 'Ausbildung', 'Weiterbildung']",,www.liv-fehr.de,11.0,C07
464,FAEG S.r.l.,Via Azzano San Paolo 21,Grassobbio (BG),24050,+39 035525015,Italy,sara.carminati@faeg.it,"Since 1965 at FAEG S.r.l. we manufacture low voltage installation products: consumer units, electric enclosures, junction...","['ENCLOSURES', 'PLUGS', 'TRUNKING SYSTEMS', 'JUNCTION BOXES', 'CONSUMER UNITS', 'PULLING RODS', 'FISHTAPES', 'DISTRIBUTION BOARDS', 'PIPE CLIP', 'ANSCHLUSSDOSEN', 'VERBRAUCHEREINHEITON', 'CONDUIT FITTINGS', 'WANDVERTEILER']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0015053834/RGB_JPG_FAEG.jpg,www.faeg.it,12.1,E36
465,Fael S.p.A.,Via Euripide 12/14,Agrate Brianza,20864,+39 03963411,Italy,info@faelluce.com,We are proud to be a 100% Made in Italy Company with a green and sustainable heart and a real talent for innovation and technology...,"['SMART SOLUTIONS', 'STREET LIGHTING', 'TUNNEL LIGHTING', 'SPORT AREA LIGHTING', 'OUTDOOR LIGHTING']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0011038363/RGB_JPG_FaelLuce.jpg,www.faelluce.com,3.0,B81
466,FAI S.r.l.,Via Martiri della Libertá 27,Misano Gera D´Adda,24040,+39 0363848111,Italy,acquisti@fai-srl.com,,[],,www.fai-srl.com,8.0,G03
467,"FAMATEL - Fabricaci&oacute;n de Material El&eacute;ctrico, S.A.","Avda. El Pla 11, P.I El Pla",Lliça de Vall,08185,+34 938634640,Spain,info@famatel.com,FAMATEL it´s a company of 30 years old with corporate strategy rest on the pillars of teamwork and respect for diversity...,"['Stromverteiler', 'Steckdosenkombination', 'Plug', 'Socket', 'Spain']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0012116430/RGB_JPG_Famatel.jpg,www.famatel.com,12.1,B45
468,FAMLIGHT,ul. Babińskiego 71B,Krakow,30-396,+48 502648178,Poland,d.martyniuk@famlight.eu,	FAMLIGHT is a family company with over 20 years of experience and passion for glass. Our brand was created to combine the...,"['interior lighting', 'glass lamps', 'customized lighting', 'hotel lighting', 'hand made']",,www.famlight.eu,6.0,B42
469,F.A.N. Europe Lighting S.r.l.,Via Nuova Poggioreale 45/A,Napoli,80143,+39 0818210771,Italy,estero@faneurope.it,"As a really dynamic company, Faneurope represents one of the most important italian companies in lighting market. Thanks...","['lumen', 'europe', 'lighting', 'lamps', 'italy']",https://exhibitorsearch.messefrankfurt.com/images/medium/mics/migration_feria/20008800.jpg,www.faneurope.com,6.0,A20
470,Fanton S.p.A.,Viale dell´Industria 8/10,Conselve (PD),35026,+39 0499597911,Italy,export@fanton.com,"Fanton is an Italian manufacturer of electrical material, founded in the ‘50s. Our products are designed and produced in...","['FANTON', 'PLUG', 'SOCKET', 'EXTENSION LEAD', 'CABLE REEL']",,www.fanton.com,12.1,B70
471,Faradite Ltd.,"Unit 4B, Lansbury Business Estate, Atlantic House, 102 Lower Guildford Road",Woking,GU21 2EP,+44 77382662200,Great Britain and Northern Ireland,,"Faradite manufactures smart home accessories that are compatible with control systems such as Control4, Lutron, Loxone and...","['Motion Sensor', 'PIR', 'Smart Home', 'Home Automation', 'KNX']",,,11.1,C30
472,Farutti Polymer Products Factory LLC,Danila Galitskogo Street 4,Dnipro,49102,+380 952350905,Ukraine,ecostrum.dir@gmail.com,Farutti Polymer Products Factory LLC is a professional manufacturer of lighting fixtures and OEM in Ukraine Our production...,"['Wall lights', 'Bulkhead lamps', 'OEM', 'Exterior lighting', 'Plastic lamps']",,www.ecostrum.ua,4.1,B10
473,"Farwise Technology Co., Ltd.","Building 1, Xiayi Village Industrial Zone, ShijieTown",Dongguan City,523283,+86 13790241903,China,sales06@dgfarwise.com,"Farwise Technology Co.,Ltd is specialized in OEM&ODM extrusion products including PC tubes/covers/lens and PVC copper Co...","['4 wires led track rail', 'DC48v magnetic track lighting', 'magnetic track light', 'magnet track rail LED', 'plastic copper Co-extrusion']",,www.farwiselighting.com,8.0,N53
474,Fasttel - Smart Doorphones BVBA,Klipsenstraat 18A,Lokeren,9160,+32 92446520,Belgium,info@fasttel.com,Belgian manufacturer of high end door entry systems. The Fasttel outdoor units can be integrated in each telephony system...,"['telephony', 'intercoms via ipad', 'Sip intercom', 'sip door entry', 'ip intercom']",,www.fasttel.com,11.1,C40
475,FCS Aydinlatma Teknoloji Sistemleri San. ve Tic. A.S.,No: 31 Ferhatpasa Mah. 37. Sok. Atasehir,Istanbul,34888,+90 5074480828,Türkiye,boraonder@focusled.com.tr,"As an outdoor lighting company based in Turkey, we constantly focus on the performance of our products in terms of quality...","['Street and Road Lighting', 'Floodlight', 'Industrial High-Bay Light', 'Outdoor Lighting', 'Smart LED Luminaires']",,http://www.focusled.com.tr,6.0,C50
476,FDL Intercontinental B.V.,Televisieweg 155,Almere,1322 BH,+31 365468888,Netherlands,mark@fdl.eu,,[],,www.fdl.eu,6.0,B90
477,FEB ELETTRICA S.R.L.,Via A. Pollastri 1,Bologna BO,40138,+39 0516025162,Italy,febelettrica@febelettrica.it,,[],,www.febelettrica.it,11.1,B85
478,FEDAI DEC,"Calle Doctor Fleming 6, Bajo 1",Valencia,46004,+34 673476248,Spain,info@fedai-dec.com,FEDAI is the Spanish Federation of Associations of Industries of Exporters of Decorative Lighting Fixtures. FEDAI´s mission...,"['decorinspo', 'lightsmadeinSpain', 'lightingfromSpain', 'lightingSpain', 'online store']",,www.fedai-dec.com,4.1,FOY14
479,Feelux,"235-48, Gwangjeok-ro, Gwangjeok-myeon","Yangju-si, Gyeonggi-do",482-844,+82 7077808200,"Korea, the Republic of (South)",info@feelux.com,"A respect for our historyFeelux Lighting is built on a foundation of pure commitment to the fine, time-tested concepts of...","['Feelux', 'DIVA', 'Lightings', 'LED', 'Feelux Co.,Ltd']",,www.feelux.com/global,3.0,E51
480,F-ELEKTRO Sp. z o.o. Sp. k.,"Roczyny, ul. Sloneczna 9",Andrychow,34-120,+48 338733173,Poland,piotrkrol@f-elektro.com,"F-ELEKTRO is our enterprise established in 2009, which is specialized in the production of the electrical equipment. For...",[],,www.f-elektro.com,9.0,B53
481,Felicity Smart Infrastructure,Betonvej 10,Roskilde,4000,+61 403985805,Denmark,sales@FelicitySI.com,"About us…Felicity Smart Infrastructure develops, delivers and  operates integrated LED streetlights and Smart City solutions...","['Modular Street Light Designs', 'Ai Traffic Sensors', '5G Streetlights', 'Smart Poles', 'Multimodal Traffic Monitoring']",,www.FelicitySI.com,4.0,D80
482,"Ningbo FengHua Lamp Co., Ltd","No. 104-128 CiZhang East Road, ZhangQi Town",Cixi,315312,+86 57463778829,China,export@ghlux.com,"We are a professional IP65 Led triproof light suppliers and plumbing fittings company, located in Zhangqi town , Cixi China...","['IP65 LED triproof light ', 'IP65 LED bulkhead', 'IP20 LED batten', 'IP65 waterproof light fixtures']",,www.ghlux.com,8.0,N44
483,Fermada LED Light,Gazi Mahallesi No: 55,Tuzla,34953,+90 2165040020,Türkiye,info@fermada.com.tr,,[],,www.fermada.com.tr,3.0,G10
484,Ferroluce SRL,via XXV Maggio 17,Romans D'Isonzo,34076,+39 0481909541,Italy,info@ferroluce.it,Ferroluce is a company specialized in the production of decorative lamps that was established in 1982.A family history that...,"['Design lighting ', 'Colored lighting', 'farbige  Leuchten', 'Designer Leuchten']",,,6.0,D21
485,Fersan Elektrik Malz. Tic. San. A.S.,Imes San. St. B Blok 204 Sok No: 8,Istanbul,34775,+90 2164157557,Türkiye,semih@fersanelektrik.com,Fersan Electric has been producing various electrical components since its foundation in 1985. Following the technological...,"['Stromschienen', 'Adaptor', 'Connector', 'Track', 'Schienen']",,www.fersanelektrik.com,8.0,F19
486,Fiam Asia Group Limited,"18 Central Plaza, Harbour Road",Wan Chai,,+852 29111225,Hong Kong,fiam2@fiam.asia,,[],,www.fiam.asia,8.0,K51
487,FIBAR GROUP S A,Ul. Serdeczna 3,Wysogotowo,62-081,+48 730730746,Poland,w.jankowski@fibargroup.com,,[],,www.fibaro.com,9.0,E40
488,Fiberli Lighting,Organize Sanayi Bölgesi 3. Etap 25,Dösemealti - Antalya,07100,+90 2422288150,Türkiye,info@fiberli.com,,[],,www.fiberli.com,4.1,H11
489,Fiberoptic-Solution GmbH &amp; Co. KG,Carl-Zeiss-Str. 1,Alzenau i.UFr.,63755,+49 60239175350,Germany,info@fiberoptic-solution.de,Die FIBEROPTIC-SOLUTION GmbH & Co. KG bietet Ihnen als Spezialist im Glasfaser-Netzwerk-Bereich eine Vielzahl an hochwertigen...,"['Glasfaser', 'LWL', 'Lichtwellenleiter', 'OTDR', 'Splei&szlig;ger&auml;t']",https://exhibitorsearch.messefrankfurt.com/images/medium/mics/migration_feria/07180035.jpg,www.fiberoptic-solution.de,11.0,B16
490,FILD e.V. - Federation of International Lighting Designers,Schaumainkai 91,Frankfurt am Main,60596,+49 69505027140,Germany,office@fild.eu,Who is FILD ?FILD - Federation of International Lighting Designers e.V. is a professional association of freelance and independent...,['Berufsanerkennung des Lichtdesigners'],,www.fild.eu,4.1,FOY16
491,Filotto S.r.l.,Via Magellano 12,Vicopisano,56010,+39 050799849,Italy,e.colarullo@duraluce.com,"Get an hyperactive, a handful of dreamers and a made in Italy production. Add 15 years of carefully seasoned experience. Put...","['table lamp; Tischleuchte', 'modern style; moderner Stil', 'design lamp; Designleuchte', 'decorative lamp; dekorative Lampe', 'pendant lamp; H&auml;ngelampe']",,www.ilfilotto.com,6.0,D31
492,"filumen, Inh. Christian Finke",Am Neuen Markt 5,Potsdam,14467,+49 33123603910,Germany,info@filumen.de,The label ﬁlumen was founded in 1999 by Christian Finke in a Berlin studio. The focus is on producing your own designs. Today...,"['Stoffleuchten | fabric lamps', 'Sonderleuchten | special lighting', 'Glasleuchten | glass lamps', 'Textilschirme | farbric lamp shades', 'Pendelleuchten | pendant lamps']",https://exhibitorsearch.messefrankfurt.com/images/medium/mics/migration_feria/20009108.jpg,www.filumen.de,3.1,C30
493,Fintech GmbH,Asbacher Str. 141,Linz,53545,+49 26445606,Germany,info@fintech-gruppe.de,"Fintech GmbH is part of the Niedax Group  since 2004. Fintech specialises in electrical conduit, fitting rails and small...","['Rohre', 'Kabelschutzrohre', 'Leitungschutzkanal', 'Kabelleiter', 'Installationsrohr']",,www.fintech-gruppe.de,12.0,A03
494,Flashnet S.A.,Fundatura Harmanului 4A,Brasov,500240,+40 268333766,Romania,office@flashnet.ro,"Established in 2005, FLASHNET is a research and development company for intelligent energy management and smart city solutions...","['smart street lighting', 'street lighting management', 'LoRaWAN streetlight controllers', 'NB-IoT streetlight controllers', 'smart city']",,http://www.flashnet.ro,8.0,A80
495,flexxica,ul. Szyszkowa 43,Warszawa,02-285,+48 723063030,Poland,hello@flexxica.com,"The flexxica brand crashes the horizon of standard office lighting. For us, light means the user’s well-being. It defines...","['acoustic lighting', 'office lighting', 'lighting system', 'luminaires', 'profesional lighting']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0051307677/RGB_JPG_Flexxica.jpg,https://flexxica.com,3.1,C22
496,Fluke Deutschland GmbH,In den Engematten 14,Glottertal,79286,+49 69 22222 0223,Germany,CS.Deutschland-ELEK@fluke.com,"Fluke portraitFounded in 1948, Fluke Corporation is the world's leading manufacturer of compact and professional electronic...","['Pr&uuml;fger&auml;te', 'Fluke', 'Installationstester', 'Messger&auml;te', 'Ger&auml;tetester']",,www.fluke.de,12.0,B11
497,Flussirari Italia Illuminazione S.r.l.,"Viale dell'Artigianato, 1",Novi Ligure (AL),15067,+39 0143511622,Italy,info@flussirari.it,"Flussirari Italia Illuminazione, with the international registered brand Flussirari, with the aim to deliver excellence in...","['indoor lighting', 'decorative lighting', 'industrial', 'outdoor lighting', 'LED lighting']",,www.flussirari.it,3.0,D49
498,"F.M. Iluminacion, S.L.U",C/ Germanias 12-14,Aldaya (Valencia),46960,+34 961515977,Spain,marketing@ole-lighting.com,"Ole! Lighting is a design brand of decorative and technical lighting ""made in Spain"", the result of the effort and experience...","['sustainable lighting', 'decorative lighting', 'technical lighting', 'bespoke lighting', 'outdoor lighting']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0012218380/1663145205838_Ole!-20Lighting-20Logo.png,https://www.ole-lighting.com/,3.1,D80
499,FOLIO,Via Romolo Gessi 10,Brescia,25135,+39 0303363047,Italy,info@folio.it,"	FOLIO, Cifralluminio’s latest brand, makes exclusive and unique LED lighting fixtures.	 	As a result of combination between...","['RETAIL LIGHTING', 'MODERN LIGHTING', 'BACKLIGHTING', 'ARCHITECTURAL LIGHTING', 'LED PANEL']",https://exhibitorsearch.messefrankfurt.com/images/medium/mics/migration_feria/20008833.jpg,www.folio.it,3.0,D11
500,"Zhejiang Fonda Technology Co., Ltd.","No. 98, Wenyi West Road",Hangzhou,310012,+86 18616140801,China,ivy.li@fondalighting.com,"Founded in 2010, Fonda is a professional smart outdoor lighting controlling system and related products provider. Fonda has...","['Data Concentrator', 'street lighting', 'Smart Pole', 'Smart City', 'Smart Lighting']",,www.fondalighting.com,8.0,M87
501,Fonderia Torri S.r.l.,Via Fontanini 21,Quinzano d'Oglio,25027,+39 0309923044,Italy,gloria@torrifonderie.it,	We have been operating in the pressure diecasting and machining field for over 40 years.	Fonderie Torri places a great deal...,"['aluminum', 'druckguss', 'diecasting', 'streetlight']",,www.torrifonderie.it,8.0,F01
502,Forestier Sarl,Rue Radio Londres,Begles,33130,+33 556498030,France,contact@forestier.fr,"Protecting the core values of yesterday while embracing those of tomorrow, never losing sight of the need to be demanding...","['pendant lamp', 'Lighting', 'Design', 'table lamp', 'project']",,www.forestier.fr,3.1,D21
503,Forge Europa Limited,"The Old Railway, Prince's Str.",Ulverston,LA12 7NQ,+44 1229580000,Great Britain and Northern Ireland,ian@forge-europa.co.uk,	The expertise you need	Forge brings the expertise you need. We design and manufacture LED solutions for any industry. Our...,"['Custom LED optics', 'Custom PCB', 'LED light engines', 'OEM', 'LED Solutions']",,www.forge-europa.co.uk,3.0,F20
504,FOTODIASTASI ILLUMINATION,14th Km PEO Thessalonikis - Athinon,Gefira - Thessaloniki,57011,+30 2310728500,Greece,paleohorinos@fotodiastasi.gr,	FOTODIASTASI has manufactured seasonal luminaries since 1987 when Paleohorinos Giannis founded the company.		Over the years...,"['Malls illumination', '3D iluminating decoration', 'Shopping Center decorations', 'Outdoor Christmas lights', 'City Streets Motifs']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0011038814/RGB_JPG_FDS.jpg,www.fotodiastasi.com,6.0,C61
505,FR&Auml;NKISCHE Rohrwerke Gebr. Kirchner GmbH &amp; Co. KG,Hellinger Str. 1,Königsberg,97486,+49 9525882200,Germany,info@fraenkische.de,"FRÄNKISCHE develops, produces and sells pipes, shafts and system components made of plastic and metal. With our range of...",[],,www.fraenkische.com,9.1,D15
506,F.lli Francesconi &amp; C. SRL,Via Enrico Fermi 4,Roncadelle (Brescia),25030,+39 0302780185,Italy,info@francesconi.it,"LIGHT IS A STORY.An ever-changing tale we’ve been narrating since 1953 with passion and accuracy. For almost 70 years, we...","['Light Design', 'Outdoor Lighting', 'Bespoke Lighting', 'Italian Design', 'Exterior lighting']",,www.francesconi.it,4.1,D11
507,Freedompro S.r.l.,Corso di Porta Romana 63,Milano,20122,+39 0362281882,Italy,marketing@freedompro.eu,"We have only the smart home in mind. A smart home not only for those who live in it, but also for those who install it. The...","['smarthome', 'hausautomation', 'Google Assistant', 'Amazon Alexa', 'Apple Homekit']",,www.freedompro.eu,9.0,C53
508,Freelux B.V.,Oudeweg 43,Nuis,9364 PR,+31 594548179,Netherlands,info@freelux.nl,"Since 2003 we create products with you as customer, installer and end-user in our minds to get the best match in satisfaction...","['Led-dimmer', 'Steckbare-installation', 'Energiemessung', 'Astro-ledlichtshaltuhr', 'N&auml;herungsledlichtschalter']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0012239125/RGB_JPG_FREELUX.jpg,www.freelux.nl,9.0,A70
509,frogblue AG,Luxemburger Str. 6,Kaiserslautern,67657,+49 6315208290,Germany,info@frogblue.com,	frogblue™ - Smart Building Technology	The efficient and wireless solution for the really smart home	Innovation - made in...,"['Smart Home', 'Geb&auml;udeautomation', 'Elektroinstallation', 'Hausautomation', 'Smart Building']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0015042316/RGB_JPG_Frogblue.jpg,www.frogblue.com,9.0,D60
510,FSP Technology Inc.,"No. 22, Jianguo E. Road, Taoyuan District",Taoyuan City,330,+886 33759888,Taiwan,sales@fsp-group.com.tw,"FSP Group is one of the global leading power supply manufacturer. Since its establishment in 1993, FSP Group has followed...","['Solar energy', 'uninterruptible power supply', 'IoT', 'power supply', '5G']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0012342770/RGB_JPG_FSP.jpg,www.fsp-group.com,11.0,D70
511,Fumagalli S.r.l.,Via Cà Bassa 29,Varese,21100,+39 0332336353,Italy,emmanuele@fumagalli.it,"Fumagalli Srl is a worldwide leading company in the manufacturing of outdoor lighting, made by RESIN MATERIAL, in classic...","['Poles', 'LANTERN', 'BOLLARD', 'BULKHEAD', 'ourdoor lighting']",https://exhibitorsearch.messefrankfurt.com/images/medium/mics/migration_feria/07129041.jpg,www.fumagalli.it,3.0,A90
512,Funkwerk Systems GmbH,Liebigstr. 1a,Karlsfeld,85757,+49 813190750,Germany,info@funkwerk-itk.com,Funkwerk is a medium-sized technology group with several branches in Germany and Austria. The Funkwerk Group has emerged...,"['Geb&auml;udemanagement', 'Gefahrenmanagement', 'Beschallung', 'Videosystem', 'Videomanagement']",,,8.0,K84
513,"Changzhou Fuxing Electrical Appliance Co., Ltd.","No. 20, Dongfang South Road, Lihe, Wujin Economic Development Zone",Changzhou,213145,+86 51983665588,China,sales@wj-fuxing.com,"Founded in 1992, Changzhou Fuxing Electrical Appliance Co., Ltd is well located in beautiful south of Yangtze River - Changzhou...","['LED lamp', 'Lighting', 'bulb', 'Decorative lighting', 'luminaire']",,www.wj-fuxing.com,8.0,B86
514,Gaggione SAS,"3, rue de la Rolland",Montréal-la-Cluse,01460,+33 474761266,France,contact@gaggione.com,"Founded in 1948, GAGGIONE is an optics manufacturer located in Montréal-la-Cluse between Lyon (France) and Geneva (Switzerland...","['Optical components', 'Optical solutions ', 'French manufacturer', 'Plastic lenses', 'High-quality lenses']",,www.optic-gaggione.com,8.0,D11
515,Galaxy profiles GmbH,Haller Au 19 a,Hall in Tirol,6060,+43 526222103,Austria,info@galaxy-profiles.com,Galaxy® profiles GmbH is an Austrian company seated in Hall in Tirol with a focus on high-quality aluminium profiles for...,"['Aluminium Profile und Abdeckungen', 'Aluminium profiles and covers', 'Linear Lighting', 'Linearbeleuchtung', 'OEM']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0015042921/RGB_JPG_Galaxy.jpg,www.galaxy-profiles.com,8.0,G11
516,Gallis SA,Lefkados & Artis Str. 3,"Moschato, Athens",18346,+30 2104833888,Greece,gallis@gallis.eu,	GALLIS S.A is one of the leading manufacturers and distributors of decorative & architectural lighting in South East Europe...,"['retail lighting', 'architectural lighting', 'LED', 'office lighting', 'Decorative Lighting']",,www.gallis.eu,3.0,D41
517,"Hongkong Galston Lighting &amp; Electric Co., Limited","Workshop 60, 3/F., Block A, East Sun Industrial Centre, 16 Shing Yip Street, Kwon Tong",Kowloon,999077,+86 750-8017685,Hong Kong,sales4@galtonlighting.com,,[],,www.galtonlighting.com,8.0,A94C
518,Gammacril GmbH,Im Euler 9,Mainz,55129,+49 61316279127,Germany,info@gammacril.de,"Gammacril has for more of seventy years specialized in the production of acrylic semi-finished products, with a precise product...","['pmma', 'acrylic', 'acrylglas', 'polycarbonate', 'tube']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0015030960/RGB_JPG_Gammacril.jpg,www.gammacril.de,8.0,C61
519,Gammacril S.r.l.,Via Ticino 76,Nerviano,20014,+39 0331415425,Italy,info@gammacril.com,"Gammacril has for more of seventy years specialized in the production of acrylic semi-finished products, with a precise product...","['pmma', 'acrylic', 'acrylglas', 'polycarbonte', 'tube']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0015035632/RGB_JPG_Gammacril_rot.jpg,www.gammacril.com,8.0,C61
520,GANTNER Electronic GmbH Deutschland,Industriestr. 40F,Bochum,44894,+49 23458896550,Germany,info@gantner.com,"GANTNER is the internationally leading producer of high-value, innovative and long-lasting system solutions in the areas...","['Zutrittskontrollsysteme', 'Schrankschlie&szlig;systeme', 'Schrankschl&ouml;sser', 'Sicherheitstechnik', 'Zutrittskontrolle']",,www.gantner.com,8.0,E90
521,Gap Lighting Ltd.,"Unit 14, Schooner Park",Dartford,DA2 6NW,+44 1322620100,Great Britain and Northern Ireland,info@gaplighting.co.uk,"	GAP LIGHTING is a recognised leader of Smart LED lighting solutions, and innovative colour control products.	As we celebrate...","['Smart Technology', 'Wifi controlled products', 'Marine Grade collection', 'LED Lighting', 'RGBW products']",,www.gaplighting.co.uk,4.1,C36
522,Carlo Gavazzi GmbH,Pfnorstr,Darmstadt,64293,+49 615181000,Germany,info@gavazzi.de,CARLO GAVAZZI can look back on more than 90 years of tradition in automation technology and is represented worldwide with...,"['Energiez&auml;hler', 'wM-Bus', 'Wechselstromz&auml;hler', 'LoRa', 'Drehstromz&auml;hler', 'DC Energiez&auml;hler']",https://exhibitorsearch.messefrankfurt.com/images/medium/mics/migration_feria/07208039.jpg,https://www.gavazzi.de/lb2022/,11.0,C76
